serviceName,partitionName,activationCriteria,enabled,maxActivationDurationHours,approverName,approverId,stepType,step
"facp","fre_qa_ssh_root",,false,,"null","null","null","null"
"facp","bats_prepare_nonprod",,false,,"null","null","null","null"
"facp","fsre_compute_reboot_prod_role",,false,,"null","null","null","null"
"facp","facp_prm_prod",,false,,"null","null","null","null"
"facp","cdp_bg_oma_readonly_prod",,false,,"null","null","null","null"
"facp","limits_capacity_manage_role",,false,,"null","null","null","null"
"facp","fre_builddev_ssh_login",,false,,"null","null","null","null"
"facp","slaps_role",,false,,"null","null","null","null"
"facp","fre_qa_ssh_login",,false,,"null","null","null","null"
"facp","chaos_ops_testing",,false,,"null","null","null","null"
"facp","pod_ssh_root_demo",,false,,"null","null","null","null"
"facp","fieldsvc_bg_oma_readwrite_prod",,false,,"null","null","null","null"
"facp","spectra_service_owners_prod",,false,,"null","null","null","null"
"facp","fre_maint_ssh_root",,false,,"null","null","null","null"
"facp","adp_devops",,false,,"null","null","null","null"
"facp","jit_pod_ssh_root_noncommercial","JUSTIFICATION",true,24,"null","null","null","null"
"facp","preflight_ssh_login",,false,,"null","null","null","null"
"facp","bg_oma_readonly_prod",,false,,"null","null","null","null"
"facp","facp_protected_vault_read_role",,false,,"null","null","null","null"
"facp","facp_delete_beta_pintnext_pods",,false,,"null","null","null","null"
"facp","facp_integ_test_role",,false,,"null","null","null","null"
"facp","facp-pod-csivasam_role",,false,,"null","null","null","null"
"facp","fre_hwm_ssh_login",,false,,"null","null","null","null"
"facp","pod_ssh_login_commercial",,false,,"null","null","null","null"
"facp","deployment_commercial",,false,,"null","null","null","null"
"facp","facp_compute_reservation_role","JUSTIFICATION",true,24,"null","null","null","null"
"facp","facp_sub_hostclass_beta_role",,false,,"null","null","null","null"
"facp","faaas_console_developer",,false,,"null","null","null","null"
"facp","restricted_maintenance_role",,false,,"null","null","null","null"
"facp","hcp_sre",,false,,"null","null","null","null"
"facp","fre_ssh_login",,false,,"null","null","null","null"
